trial_id,attack_type,n_points,perturbation_pct,magnitude_uv,orig_pred,pert_pred,misclassified,snr_db,trial_range_uv
0,random,1,5.0,2.19,2,2,0,36.66,43.89
0,random,1,10.0,4.39,2,2,0,30.64,43.89
0,random,1,15.0,6.58,2,2,0,27.12,43.89
0,random,1,20.0,8.78,2,2,0,24.62,43.89
0,random,2,5.0,2.19,2,2,0,33.65,43.89
0,random,2,10.0,4.39,2,2,0,27.63,43.89
0,random,2,15.0,6.58,2,2,0,24.1,43.89
0,random,2,20.0,8.78,2,2,0,21.61,43.89
0,targeted,1,5.0,2.19,2,2,0,50.08,43.89
0,targeted,1,10.0,4.39,2,2,0,44.06,43.89
0,targeted,1,15.0,6.58,2,2,0,40.54,43.89
0,targeted,1,20.0,8.78,2,2,0,38.04,43.89
0,targeted,2,5.0,2.19,2,2,0,47.07,43.89
0,targeted,2,10.0,4.39,2,2,0,41.05,43.89
0,targeted,2,15.0,6.58,2,2,0,37.53,43.89
0,targeted,2,20.0,8.78,2,2,0,35.03,43.89
1,random,1,5.0,2.55,0,0,0,34.56,51.09
1,random,1,10.0,5.11,0,0,0,28.54,51.09
1,random,1,15.0,7.66,0,0,0,25.02,51.09
1,random,1,20.0,10.22,0,0,0,22.52,51.09
1,random,2,5.0,2.55,0,0,0,31.55,51.09
1,random,2,10.0,5.11,0,0,0,25.53,51.09
1,random,2,15.0,7.66,0,0,0,22.01,51.09
1,random,2,20.0,10.22,0,0,0,19.51,51.09
1,targeted,1,5.0,2.55,0,0,0,47.98,51.09
1,targeted,1,10.0,5.11,0,0,0,41.96,51.09
1,targeted,1,15.0,7.66,0,0,0,38.44,51.09
1,targeted,1,20.0,10.22,0,0,0,35.94,51.09
1,targeted,2,5.0,2.55,0,0,0,44.97,51.09
1,targeted,2,10.0,5.11,0,0,0,38.95,51.09
1,targeted,2,15.0,7.66,0,0,0,35.43,51.09
1,targeted,2,20.0,10.22,0,0,0,32.93,51.09
2,random,1,5.0,2.09,0,0,0,35.25,41.81
2,random,1,10.0,4.18,0,0,0,29.23,41.81
2,random,1,15.0,6.27,0,0,0,25.71,41.81
2,random,1,20.0,8.36,0,0,0,23.21,41.81
2,random,2,5.0,2.09,0,0,0,32.24,41.81
2,random,2,10.0,4.18,0,0,0,26.22,41.81
2,random,2,15.0,6.27,0,0,0,22.7,41.81
2,random,2,20.0,8.36,0,0,0,20.2,41.81
2,targeted,1,5.0,2.09,0,0,0,48.68,41.81
2,targeted,1,10.0,4.18,0,0,0,42.66,41.81
2,targeted,1,15.0,6.27,0,0,0,39.14,41.81
2,targeted,1,20.0,8.36,0,0,0,36.64,41.81
2,targeted,2,5.0,2.09,0,0,0,45.67,41.81
2,targeted,2,10.0,4.18,0,0,0,39.65,41.81
2,targeted,2,15.0,6.27,0,0,0,36.13,41.81
2,targeted,2,20.0,8.36,0,0,0,33.63,41.81
3,random,1,5.0,1.89,2,2,0,37.55,37.72
3,random,1,10.0,3.77,2,2,0,31.53,37.72
3,random,1,15.0,5.66,2,2,0,28.01,37.72
3,random,1,20.0,7.54,2,2,0,25.51,37.72
3,random,2,5.0,1.89,2,2,0,34.54,37.72
3,random,2,10.0,3.77,2,2,0,28.52,37.72
3,random,2,15.0,5.66,2,2,0,25.0,37.72
3,random,2,20.0,7.54,2,2,0,22.5,37.72
3,targeted,1,5.0,1.89,2,2,0,50.97,37.72
3,targeted,1,10.0,3.77,2,2,0,44.95,37.72
3,targeted,1,15.0,5.66,2,0,1,41.43,37.72
3,targeted,1,20.0,7.54,2,0,1,38.93,37.72
3,targeted,2,5.0,1.89,2,2,0,47.96,37.72
3,targeted,2,10.0,3.77,2,0,1,41.94,37.72
3,targeted,2,15.0,5.66,2,0,1,38.42,37.72
3,targeted,2,20.0,7.54,2,0,1,35.92,37.72
4,random,1,5.0,1.9,0,0,0,37.5,37.98
4,random,1,10.0,3.8,0,0,0,31.48,37.98
4,random,1,15.0,5.7,0,0,0,27.95,37.98
4,random,1,20.0,7.6,0,0,0,25.45,37.98
4,random,2,5.0,1.9,0,0,0,34.49,37.98
4,random,2,10.0,3.8,0,0,0,28.47,37.98
4,random,2,15.0,5.7,0,0,0,24.94,37.98
4,random,2,20.0,7.6,0,0,0,22.44,37.98
4,targeted,1,5.0,1.9,0,0,0,50.92,37.98
4,targeted,1,10.0,3.8,0,0,0,44.9,37.98
4,targeted,1,15.0,5.7,0,0,0,41.38,37.98
4,targeted,1,20.0,7.6,0,0,0,38.88,37.98
4,targeted,2,5.0,1.9,0,0,0,47.91,37.98
4,targeted,2,10.0,3.8,0,0,0,41.89,37.98
4,targeted,2,15.0,5.7,0,0,0,38.37,37.98
4,targeted,2,20.0,7.6,0,0,0,35.87,37.98
6,random,1,5.0,1.69,1,1,0,35.95,33.76
6,random,1,10.0,3.38,1,1,0,29.93,33.76
6,random,1,15.0,5.06,1,1,0,26.4,33.76
6,random,1,20.0,6.75,1,1,0,23.91,33.76
6,random,2,5.0,1.69,1,1,0,32.94,33.76
6,random,2,10.0,3.38,1,1,0,26.92,33.76
6,random,2,15.0,5.06,1,1,0,23.39,33.76
6,random,2,20.0,6.75,1,1,0,20.89,33.76
6,targeted,1,5.0,1.69,1,1,0,49.37,33.76
6,targeted,1,10.0,3.38,1,1,0,43.35,33.76
6,targeted,1,15.0,5.06,1,1,0,39.83,33.76
6,targeted,1,20.0,6.75,1,1,0,37.33,33.76
6,targeted,2,5.0,1.69,1,1,0,46.36,33.76
6,targeted,2,10.0,3.38,1,1,0,40.34,33.76
6,targeted,2,15.0,5.06,1,1,0,36.82,33.76
6,targeted,2,20.0,6.75,1,1,0,34.32,33.76
7,random,1,5.0,1.74,1,1,0,37.1,34.9
7,random,1,10.0,3.49,1,1,0,31.08,34.9
7,random,1,15.0,5.23,1,1,0,27.55,34.9
7,random,1,20.0,6.98,1,1,0,25.06,34.9
7,random,2,5.0,1.74,1,1,0,34.09,34.9
7,random,2,10.0,3.49,1,1,0,28.07,34.9
7,random,2,15.0,5.23,1,1,0,24.54,34.9
7,random,2,20.0,6.98,1,1,0,22.05,34.9
7,targeted,1,5.0,1.74,1,1,0,50.52,34.9
7,targeted,1,10.0,3.49,1,1,0,44.5,34.9
